ID	DOCULECT	CONCEPT	CONCEPTICON_ID	ALIGNMENT	COGID
214	Latin	COLD	19	f r i g ı d ʊ s	0
215	Latin	GOOD	20	b ɔ n ʊ s	0
216	Latin	BAD	21	m a l ɛ	0
217	Latin	BAD	21	m a l ʊ s	1
218	Latin	BECAUSE	22	kʷ ɔ d	0
219	Latin	SAY	23	d i k ɛ r ɛ	0
220	Latin	SAY	23	n a r r a r ɛ	2
221	Latin	LIVE	24	w i w ɛ r ɛ	0
222	Latin	FISH	25	p ı s k ı s	0
223	Latin	FISH	25	p ı s k a r ı ʊ s	1
224	Latin	MOTHER	26	m ã m a	0
225	Catalan	I	1	ʒ ɔ	1
226	Catalan	YOU_S	2	t u	0
227	Catalan	HE	3	e ʎ	0
228	Catalan	WE	4	n u z a l t ɾ ə s	1
229	Catalan	YOU_P	5	b u z a l t ɾ ə s	1
230	Catalan	ALL	6	t o t	0
231	Catalan	MANY	7	m o l	1
232	Catalan	SOME	8	ə l ɣ u n	2
233	Catalan	EAR	9	u ɾ ɛ ʎ ə	0
234	Catalan	EYE	10	u ʎ	0
235	Catalan	NOSE	11	n a s	0
236	Catalan	BEAUTIFUL	12	b u n i k	0
237	Catalan	SMELL	13	s ə n t i	0
238	Catalan	FEAR	14	t e m ə	0
239	Catalan	SLEEP	15	d u r m i	0
240	Catalan	RIVER	16	r i w	1
241	Catalan	CLOUD	17	n u β u l	0
242	Catalan	ICE	18	ʒ ɛ l	0
243	Catalan	COLD	19	f ɾ ɛ t	0
244	Catalan	GOOD	20	b ɔ	0
245	Catalan	BAD	21	m a l ə	0
246	Catalan	BECAUSE	22	p ə r k ɛ	0
247	Catalan	SAY	23	d i	0
248	Catalan	LIVE	24	b i w ɾ ə	0
249	Catalan	FISH	25	p e ʃ	0
250	Catalan	MOTHER	26	m ə m a	0
251	Corsican	I	1	e j u	0
252	Corsican	YOU_S	2	t u	0
253	Corsican	HE	3	e l l u	0
254	Corsican	WE	4	n o i	0
255	Corsican	YOU_P	5	b o i	0
256	Corsican	ALL	6	t u t t u	0
257	Corsican	MANY	7	a s s a i	3
258	Corsican	SOME	8	k w a l k i	1
259	Corsican	EAR	9	a r ɛ k j a	0
260	Corsican	EYE	10	ɔ t j u	0
261	Corsican	NOSE	11	n a s u	0
262	Corsican	BEAUTIFUL	12	b ɛ l l u	0
263	Corsican	SMELL	13	s ɛ̃ n t ɛ	0
264	Corsican	FEAR	14	t e m e	0
265	Corsican	SLEEP	15	ð o r m ɛ	0
266	Corsican	RIVER	16	f j u m ɛ	0
267	Corsican	CLOUD	17	n i w u l u	0
268	Corsican	ICE	18	j a ʤ u	0
269	Corsican	COLD	19	f r e d u	0
270	Corsican	GOOD	20	b o n u	0
271	Corsican	BAD	21	m a l ɛ	0
272	Corsican	BECAUSE	22	k i	0
273	Corsican	SAY	23	ð i	0
274	Corsican	LIVE	24	b i w ɛ	0
275	Corsican	FISH	25	p ɛ ʃ u	0
276	Corsican	MOTHER	26	m a m m a	0
